Pokemon,Battle Rating,HP Remaining,Energy Remaining
Ampharos,417,0,14
Arcanine,902,144,2
Ariados,516,6,1
Azumarill,338,0,28
Bayleef,530,11,11
Beedrill,572,26,35
Bellossom,252,0,14
Blastoise,544,16,34
Butterfree,818,114,2
Celebi,804,109,2
Charizard,759,93,2
Charmeleon,843,123,2
Chinchou,301,0,41
Cloyster,561,22,0
Corsola,622,44,1
Croconaw,513,5,28
Dewgong,656,56,0
Electabuzz,414,0,2
Electrode,343,0,11
Entei,874,134,2
Exeggcute,667,60,2
Exeggutor,622,44,2
Feraligatr,505,2,13
Flaaffy,376,0,14
Flareon,860,129,2
Forretress,558,21,1
Gloom,553,19,2
Golduck,500,0,16
Growlithe,765,95,2
Gyarados,487,0,14
Heracross,433,0,5
Ho-Oh,846,124,2
Houndoom,874,134,2
Ivysaur,242,0,8
Jolteon,459,0,2
Jumpluff,614,41,2
Kabuto,648,53,8
Kabutops,448,0,2
Kingdra,349,0,5
Kingler,555,20,1
Krabby,681,65,1
Lanturn,214,0,35
Lapras,398,0,40
Ledian,664,59,17
Magby,723,80,2
Magcargo,754,91,2
Magmar,709,75,2
Magnemite,500,0,2
Magneton,578,28,2
Mantine,553,19,1
Meganium,214,0,5
Moltres,874,134,2
Ninetales,865,131,5
Octillery,592,33,1
Oddish,581,29,2
Omanyte,432,0,23
Omastar,401,0,23
Parasect,779,100,2
Pineco,620,43,32
Pinsir,469,0,2
Politoed,413,0,4
Poliwhirl,485,0,31
Poliwrath,302,0,38
Ponyta,756,92,2
Quagsire,409,0,41
Quilava,865,131,2
Qwilfish,550,18,1
Raichu,436,0,5
Raikou,439,0,11
Rapidash,874,134,2
Scizor,709,75,14
Scyther,648,53,2
Seadra,396,0,41
Seaking,470,0,13
Slowbro,280,0,35
Slowking,280,0,35
Slowpoke,388,0,10
Starmie,335,0,17
Suicune,414,0,16
Sunflora,525,9,2
Tangela,250,0,2
Tentacruel,456,0,22
Typhlosion,606,38,2
Vaporeon,447,0,31
Venomoth,600,36,35
Venusaur,108,0,39
Victreebel,291,0,14
Vileplume,525,9,2
Wartortle,484,0,34
Weepinbell,290,0,14
Yanma,614,41,2
Zapdos,451,0,8